,3gppSub,3gppUrb,dist,logDist,okumMetro,okumRural,okumSmall,okumSub,poly3,poly6
175,-110.662498328658,-113.662498328658,176,-126.793815670913,-37.9999512613985,-9.55386293488173,-37.945609650098,-28.0972902464255,-97.630566016,-95.4636933449317
176,-110.735893685969,-113.735893685969,177,-126.844996120704,-38.0733466187096,-9.62725829219284,-38.0190050074091,-28.1706856037366,-97.607730403,-95.351274840093
177,-110.808875546116,-113.808875546116,178,-126.895888228403,-38.1463284788564,-9.70024015233962,-38.0919868675559,-28.2436674638834,-97.584854232,-95.2438652176412
178,-110.881448542156,-113.881448542156,179,-126.94649522476,-38.2189014748968,-9.77281314838005,-38.1645598635963,-28.3162404599238,-97.561970449,-95.141677415208
179,-110.953617229715,-113.953617229715,180,-126.996820286527,-38.2910701624554,-9.84498183593862,-38.2367285511549,-28.3884091474824,-97.539112,-95.0449141439998
180,-111.025386088698,-114.025386088698,181,-127.046866537657,-38.362839021439,-9.91675069492226,-38.3084974101385,-28.4601780064661,-97.516311831,-94.9537674073583
181,-111.096759524965,-114.096759524965,182,-127.096637050468,-38.4342124577059,-9.98812413118912,-38.3798708464054,-28.5315514427329,-97.493602888,-94.8684180166705
182,-111.167741871948,-114.167741871948,183,-127.146134846771,-38.5051948046883,-10.0591064781715,-38.4508531933878,-28.6025337897153,-97.471018117,-94.7890351046206
183,-111.238337392231,-114.238337392231,184,-127.195362898977,-38.5757903249716,-10.1297019984548,-38.5214487136711,-28.6731293099986,-97.448590464,-94.7157756357833
184,-111.30855027909,-114.30855027909,185,-127.244324131161,-38.6460032118301,-10.1999148853134,-38.5916616005296,-28.7433421968571,-97.426352875,-94.6487839145622
185,-111.378384657981,-114.378384657981,186,-127.293021420111,-38.7158375907217,-10.269749264205,-38.6614959794212,-28.8131765757488,-97.404338296,-94.5881910904693
186,-111.447844588002,-114.447844588002,187,-127.341457596338,-38.7852975207424,-10.3392091942257,-38.7309559094419,-28.8826365057695,-97.382579673,-94.5341146607499
187,-111.516934063302,-114.516934063302,188,-127.389635445063,-38.8543869960421,-10.4082986695254,-38.8000453847416,-28.9517259810691,-97.361109952,-94.4866579703496
188,-111.585657014462,-114.585657014462,189,-127.437557707182,-38.9231099472026,-10.4770216206858,-38.8687683359021,-29.0204489322296,-97.339962079,-94.4459097092259
189,-111.654017309839,-114.654017309839,190,-127.485227080197,-38.9914702425796,-10.5453819160629,-38.9371286312791,-29.0888092276066,-97.319169,-94.4119434069997
190,-111.722018756869,-114.722018756869,191,-127.532646219131,-39.0594716896093,-10.6133833630926,-39.0051300783089,-29.1568106746364,-97.298763661,-94.3848169249534
191,-111.78966510334,-114.78966510334,192,-127.579817737412,-39.1271180360809,-10.6810297095642,-39.0727764247804,-29.2244570211079,-97.278779008,-94.3645719453697
192,-111.856960038635,-114.856960038635,193,-127.62674420774,-39.1944129713757,-10.748324644859,-39.1400713600752,-29.2917519564028,-97.259247987,-94.3512334582165
193,-111.923907194935,-114.923907194935,194,-127.673428162927,-39.2613601276751,-10.8152718011583,-39.2070185163746,-29.3586991127021,-97.240203544,-94.3448092451739
